lat_long,casualties_id,Casualties.casualties_id,Casualties.casualties,Casualties.fatalities,Casualties.serious_injuries,Casualties.minor_injuries,Location2.lat_long,Location2.latitude,Location2.longitude
"(-37.078714846508745, 144.9018126452496)",1c1m,1c1m,1,0,0,1,"(-37.078714846508745, 144.9018126452496)",-37.07871485,144.9018126
"(-36.72743616049373, 145.33812097311286)",1c1m,1c1m,1,0,0,1,"(-36.72743616049373, 145.33812097311286)",-36.72743616,145.3381210
"(-36.86339073327499, 145.16996909904103)",1c1m,1c1m,1,0,0,1,"(-36.86339073327499, 145.16996909904103)",-36.86339073,145.1699691
"(-34.59273378934955, 147.8703606750121)",1c1m,1c1m,1,0,0,1,"(-34.59273378934955, 147.8703606750121)",-34.59273379,147.8703607
"(-37.00702513700532, 144.9913450891932)",1c1s,1c1s,1,0,1,0,"(-37.00702513700532, 144.9913450891932)",-37.00702514,144.9913451
"(-37.00702513700532, 144.9913450891932)",2c2s,2c2s,2,0,2,0,"(-37.00702513700532, 144.9913450891932)",-37.00702514,144.9913451
"(-37.08207446142451, 144.8976106218403)",1c1m,1c1m,1,0,0,1,"(-37.08207446142451, 144.8976106218403)",-37.08207446,144.8976106
"(-37.021380349740106, 144.97343735367986)",1c1m,1c1m,1,0,0,1,"(-37.021380349740106, 144.97343735367986)",-37.02138035,144.9734374
"(-37.021380349740106, 144.97343735367986)",1c1s,1c1s,1,0,1,0,"(-37.021380349740106, 144.97343735367986)",-37.02138035,144.9734374
"(-37.021380349740106, 144.97343735367986)",1c1s,1c1s,1,0,1,0,"(-37.021380349740106, 144.97343735367986)",-37.02138035,144.9734374
"(-37.04124618673194, 144.9486385015394)",1c1m,1c1m,1,0,0,1,"(-37.04124618673194, 144.9486385015394)",-37.04124619,144.9486385
"(-36.9580483424422, 145.0523660462924)",1c1m,1c1m,1,0,0,1,"(-36.9580483424422, 145.0523660462924)",-36.95804834,145.0523660
"(-36.9580483424422, 145.0523660462924)",6c6m,6c6m,6,0,0,6,"(-36.9580483424422, 145.0523660462924)",-36.95804834,145.0523660
"(-37.03410578491168, 144.95755422573424)",1c1m,1c1m,1,0,0,1,"(-37.03410578491168, 144.95755422573424)",-37.03410578,144.9575542
"(-37.03410578491168, 144.95755422573424)",1c1m,1c1m,1,0,0,1,"(-37.03410578491168, 144.95755422573424)",-37.03410578,144.9575542
"(-37.03410578491168, 144.95755422573424)",1c1m,1c1m,1,0,0,1,"(-37.03410578491168, 144.95755422573424)",-37.03410578,144.9575542
"(-37.02516669830817, 144.9687122945304)",1c1m,1c1m,1,0,0,1,"(-37.02516669830817, 144.9687122945304)",-37.02516670,144.9687123
"(-36.885246229531504, 145.14285445250903)",1c1m,1c1m,1,0,0,1,"(-36.885246229531504, 145.14285445250903)",-36.88524623,145.1428545
"(-36.85776295303854, 145.17694735743638)",1c1s,1c1s,1,0,1,0,"(-36.85776295303854, 145.17694735743638)",-36.85776295,145.1769474
"(-37.15258459223027, 144.8092908149168)",1c1m,1c1m,1,0,0,1,"(-37.15258459223027, 144.8092908149168)",-37.15258459,144.8092908
"(-37.15258459223027, 144.8092908149168)",1c1m,1c1m,1,0,0,1,"(-37.15258459223027, 144.8092908149168)",-37.15258459,144.8092908
"(-37.133526186520385, 144.83318749702084)",2c1s1m,2c1s1m,2,0,1,1,"(-37.133526186520385, 144.83318749702084)",-37.13352619,144.8331875
"(-37.133526186520385, 144.83318749702084)",1c1m,1c1m,1,0,0,1,"(-37.133526186520385, 144.83318749702084)",-37.13352619,144.8331875
