casualties,latitude,longitude,state
0,-41.15952251,174.9719149,NZ
0,-41.15952251,174.9719149,NZ
0,-41.15952251,174.9719149,NZ
0,-41.21102362,174.9019193,NZ
0,-39.05516403,174.0827438,NZ
0,-39.05516403,174.0827438,NZ
0,-41.2202062,174.9184927,NZ
0,-39.34071651,174.2852944,NZ
0,-39.94085257,174.9981651,NZ
0,-39.05630714,174.0789936,NZ
0,-39.05630714,174.0789936,NZ
0,-39.05630714,174.0789936,NZ
0,-41.31994914,174.7778781,NZ
0,-41.31994914,174.7778781,NZ
0,-41.26690443,174.7855228,NZ
0,-39.60866791,176.8735775,NZ
0,-39.60866791,176.8735775,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.15940691,174.971828,NZ
0,-41.23552994,174.805872,NZ
0,-41.23552994,174.805872,NZ
0,-41.22668079,174.8072749,NZ
0,-41.29235583,174.7729009,NZ
0,-41.29235583,174.7729009,NZ
0,-40.65131422,175.2570294,NZ
0,-41.11524519,175.0813054,NZ
0,-39.06289672,174.0420497,NZ
0,-39.49116777,176.9184061,NZ
0,-39.48386223,176.9125676,NZ
0,-40.35376947,175.6070285,NZ
0,-40.33407725,175.6329188,NZ
0,-41.20249498,174.9072895,NZ
0,-41.20249498,174.9072895,NZ
0,-38.6748645,178.0542837,NZ
0,-38.65858749,178.0152061,NZ
0,-41.29269997,174.7739492,NZ
0,-41.29269997,174.7739492,NZ
0,-41.29269997,174.7739492,NZ
0,-41.29269997,174.7739492,NZ
0,-41.29269997,174.7739492,NZ
0,-41.29269997,174.7739492,NZ
0,-41.22527018,173.0830047,NZ
0,-39.05806049,174.0764776,NZ
0,-39.05806049,174.0764776,NZ
0,-40.2230674,176.0806278,NZ
0,-41.22172738,174.8726083,NZ
0,-39.06260749,174.0581576,NZ
0,-39.05686814,174.0836019,NZ
0,-39.05686814,174.0836019,NZ
0,-39.5583942,176.8336813,NZ
0,-39.49629919,176.8857844,NZ
0,-41.11371589,174.882838,NZ
0,-41.29502736,173.2665617,NZ
0,-41.2671772,174.9072014,NZ
0,-39.64677538,176.8429571,NZ
0,-39.6522654,176.8168945,NZ
0,-39.6522654,176.8168945,NZ
0,-39.92945832,175.026585,NZ
0,-40.35322749,175.6146725,NZ
0,-40.35322749,175.6146725,NZ
0,-40.35322749,175.6146725,NZ
0,-41.14058136,174.8502686,NZ
0,-41.27919881,174.7733208,NZ
0,-41.23999962,174.8262931,NZ
0,-41.23999962,174.8262931,NZ
0,-41.22436882,174.8036441,NZ
0,-41.22436882,174.8036441,NZ
0,-39.05345981,174.0818972,NZ
0,-40.31043307,175.6316821,NZ
0,-40.3701542,175.5801491,NZ
0,-41.14205162,174.8585314,NZ
0,-41.14205162,174.8585314,NZ
0,-40.35154638,175.6311967,NZ
0,-40.35154638,175.6311967,NZ
0,-39.09319339,174.105434,NZ
0,-39.09319339,174.105434,NZ
0,-39.09319339,174.105434,NZ
0,-41.28833303,174.7761834,NZ
0,-41.31206912,174.7934687,NZ
0,-41.31206912,174.7934687,NZ
0,-41.31206912,174.7934687,NZ
0,-41.31206912,174.7934687,NZ
0,-41.31206912,174.7934687,NZ
0,-41.31206912,174.7934687,NZ
0,-41.31206912,174.7934687,NZ
0,-39.0560251,174.083173,NZ
0,-39.92859749,175.0330423,NZ
0,-39.92859749,175.0330423,NZ
0,-39.92859749,175.0330423,NZ
0,-39.92859749,175.0330423,NZ
0,-40.91018206,175.0015064,NZ
0,-41.12278666,175.0388769,NZ
0,-41.12278666,175.0388769,NZ
0,-41.12278666,175.0388769,NZ
0,-41.12278666,175.0388769,NZ
0,-41.12278666,175.0388769,NZ
0,-40.35726953,175.6119911,NZ
0,-39.34496861,174.2869969,NZ
0,-39.84314363,175.1540155,NZ
0,-41.13044659,175.0447608,NZ
0,-41.13044659,175.0447608,NZ
0,-39.61957695,176.7873202,NZ
0,-41.30726645,174.7779157,NZ
0,-41.30726645,174.7779157,NZ
0,-41.30726645,174.7779157,NZ
0,-41.30726645,174.7779157,NZ
0,-41.28644047,174.7762515,NZ
0,-41.29734164,174.7760934,NZ
0,-39.03412895,177.4183404,NZ
0,-41.31621721,173.1355583,NZ
0,-40.34408343,175.6254559,NZ
0,-40.36502562,175.6179432,NZ
0,-40.95061346,175.6626319,NZ
0,-39.02128074,174.1946452,NZ
0,-39.02128074,174.1946452,NZ
0,-39.59676938,176.7655392,NZ
0,-40.46825502,175.2828028,NZ
0,-40.46825502,175.2828028,NZ
0,-41.29309535,174.7751781,NZ
0,-41.13263,175.0404922,NZ
0,-41.1048021,175.0983853,NZ
0,-39.56401103,176.8520043,NZ
0,-39.56401103,176.8520043,NZ
0,-39.56401103,176.8520043,NZ
0,-39.64117418,176.8442892,NZ
0,-41.19044746,174.928665,NZ
0,-41.19044746,174.928665,NZ
0,-41.20750652,174.9146747,NZ
0,-39.06756811,174.0416329,NZ
0,-41.50618093,173.8187868,NZ
0,-39.06378731,174.0542453,NZ
0,-39.06378731,174.0542453,NZ
0,-39.49523676,176.909649,NZ
0,-39.49173423,176.9162991,NZ
0,-39.49173423,176.9162991,NZ
0,-39.64399287,176.8472881,NZ
0,-39.64399287,176.8472881,NZ
0,-39.64399287,176.8472881,NZ
0,-39.07260043,174.0914142,NZ
0,-41.31091515,174.7790303,NZ
0,-41.30454906,173.2418613,NZ
0,-41.30454906,173.2418613,NZ
0,-41.30454906,173.2418613,NZ
0,-39.0642257,174.1973684,NZ
0,-41.29247925,174.7789113,NZ
0,-39.49437142,176.9107396,NZ
0,-39.49437142,176.9107396,NZ
0,-39.49437142,176.9107396,NZ
0,-41.21235731,174.9046059,NZ
0,-40.33727835,175.6567859,NZ
0,-40.33727835,175.6567859,NZ
0,-41.31385106,174.7825507,NZ
0,-40.98860371,174.9525592,NZ
0,-40.98860371,174.9525592,NZ
0,-39.08040854,174.0966792,NZ
0,-39.08040854,174.0966792,NZ
0,-41.15716842,174.974204,NZ
0,-41.15716842,174.974204,NZ
0,-40.30896721,175.7183893,NZ
0,-40.33555588,175.6189807,NZ
0,-39.59131951,174.2694991,NZ
0,-41.22408822,174.9168764,NZ
0,-41.45935752,173.9460051,NZ
0,-40.76222726,175.1556758,NZ
0,-40.76222726,175.1556758,NZ
0,-40.76222726,175.1556758,NZ
0,-41.23183132,174.8898274,NZ
0,-40.09976143,175.3827545,NZ
0,-41.22700457,174.9056037,NZ
0,-41.22700457,174.9056037,NZ
0,-41.13845797,174.84113,NZ
0,-41.13845797,174.84113,NZ
0,-40.94901493,175.6608689,NZ
0,-41.24735626,174.8133344,NZ
0,-41.24735626,174.8133344,NZ
0,-41.24735626,174.8133344,NZ
0,-39.26464423,175.3988527,NZ
0,-39.26464423,175.3988527,NZ
0,-39.26464423,175.3988527,NZ
0,-40.17453983,175.3848996,NZ
0,-39.3327871,174.2820514,NZ
0,-39.50901249,176.8894003,NZ
0,-39.50901249,176.8894003,NZ
0,-39.53389249,176.8501157,NZ
0,-39.52599944,176.8615999,NZ
1,-41.2202062,174.9184927,NZ
1,-41.08689774,175.6430116,NZ
1,-39.94085257,174.9981651,NZ
1,-41.15940691,174.971828,NZ
1,-41.15940691,174.971828,NZ
1,-41.15940691,174.971828,NZ
1,-40.30755855,175.5558438,NZ
1,-39.92014054,175.0599482,NZ
1,-41.20249498,174.9072895,NZ
1,-38.65858749,178.0152061,NZ
1,-40.35534385,175.616285,NZ
1,-39.05513456,174.0907408,NZ
1,-39.06260749,174.0581576,NZ
1,-40.63038485,175.3064661,NZ
1,-41.21922396,174.9076801,NZ
1,-40.95619978,175.6687731,NZ
1,-39.06935995,174.0377406,NZ
1,-39.89719404,175.0091773,NZ
1,-39.05891257,174.0769067,NZ
1,-41.31206912,174.7934687,NZ
1,-41.31206912,174.7934687,NZ
1,-41.31206912,174.7934687,NZ
1,-39.0560251,174.083173,NZ
1,-39.92859749,175.0330423,NZ
1,-39.38898983,174.2994519,NZ
1,-41.22384453,174.8586868,NZ
1,-40.35726953,175.6119911,NZ
1,-39.03412895,177.4183404,NZ
1,-39.64150547,176.8391818,NZ
1,-40.95061346,175.6626319,NZ
1,-41.03313998,174.889152,NZ
1,-40.95543519,175.6527392,NZ
1,-39.56401103,176.8520043,NZ
1,-40.52818515,175.4387617,NZ
1,-41.19044746,174.928665,NZ
1,-39.64399287,176.8472881,NZ
1,-41.29247925,174.7789113,NZ
1,-40.38156833,175.5480157,NZ
1,-39.49437142,176.9107396,NZ
1,-40.33727835,175.6567859,NZ
1,-39.08040854,174.0966792,NZ
1,-39.59131951,174.2694991,NZ
2,-39.05516403,174.0827438,NZ
2,-39.94085257,174.9981651,NZ
2,-41.15940691,174.971828,NZ
2,-41.31206912,174.7934687,NZ
2,-39.02128074,174.1946452,NZ
2,-41.19044746,174.928665,NZ
2,-40.98860371,174.9525592,NZ
2,-40.33555588,175.6189807,NZ
2,-39.59131951,174.2694991,NZ
2,-41.26924001,173.2917677,NZ
1,-41.22668079,174.8072749,NZ
1,-41.29269997,174.7739492,NZ
1,-39.03412895,177.4183404,NZ
1,-39.49523676,176.909649,NZ
1,-39.93359373,175.0291411,NZ
1,-39.54074309,176.849948,NZ
1,-39.06475291,174.0510926,NZ
1,-41.29215427,173.2461629,NZ
4,-41.19056545,173.5541802,NZ
3,-40.79042537,175.1307275,NZ
3,-41.19044746,174.928665,NZ
5,-39.59451331,176.9179915,NZ
5,-40.36502562,175.6179432,NZ
4,-37.85041198,178.3219168,NZ
3,-39.09319339,174.105434,NZ
3,-39.31869811,175.7296048,NZ
0,-41.1888735,174.951512,NZ
0,-41.1888735,174.951512,NZ
0,-41.1888735,174.951512,NZ
0,-40.61235942,175.3132688,NZ
1,-40.67047661,175.2411606,NZ
0,-41.28161023,173.2835474,NZ
0,-41.28101367,174.7782894,NZ
0,-39.92687076,175.0359517,NZ
0,-41.27422147,173.2808409,NZ
0,-41.27422147,173.2808409,NZ
1,-40.30925041,175.5891125,NZ
1,-40.30925041,175.5891125,NZ
0,-40.30925041,175.5891125,NZ
0,-40.21334779,175.5622273,NZ
1,-41.3130955,174.7894471,NZ
0,-41.3130955,174.7894471,NZ
0,-41.3130955,174.7894471,NZ
0,-38.65346506,178.0273184,NZ
1,-41.29477515,174.7748892,NZ
0,-41.29477515,174.7748892,NZ
0,-40.62183507,175.2866189,NZ
3,-39.63968986,176.8390696,NZ
0,-38.64210987,178.0080729,NZ
0,-39.93123527,175.0515512,NZ
0,-39.06040215,174.0687694,NZ
2,-40.3814634,175.6156115,NZ
0,-40.3814634,175.6156115,NZ
0,-41.24846433,174.9441072,NZ
0,-40.88257573,175.6582992,NZ
0,-41.24116313,174.8096548,NZ
3,-41.18992393,174.9298062,NZ
0,-41.18992393,174.9298062,NZ
0,-41.18992393,174.9298062,NZ
1,-41.20715092,174.898074,NZ
0,-39.05801149,174.0798286,NZ
0,-39.05801149,174.0798286,NZ
0,-39.05801149,174.0798286,NZ
0,-39.05801149,174.0798286,NZ
0,-39.05801149,174.0798286,NZ
0,-39.05801149,174.0798286,NZ
0,-39.05801149,174.0798286,NZ
0,-39.49647815,176.8855503,NZ
0,-40.2286424,175.5557525,NZ
1,-39.64459972,176.8515274,NZ
0,-39.64459972,176.8515274,NZ
1,-41.30553233,173.1209027,NZ
0,-41.37939363,173.1138758,NZ
0,-39.50726303,176.9028827,NZ
2,-41.19498315,174.9208205,NZ
1,-41.19498315,174.9208205,NZ
0,-41.19498315,174.9208205,NZ
0,-41.19498315,174.9208205,NZ
1,-40.34860968,175.6053581,NZ
0,-40.34860968,175.6053581,NZ
0,-40.34860968,175.6053581,NZ
0,-40.34860968,175.6053581,NZ
0,-41.09511316,174.8691616,NZ
0,-41.09511316,174.8691616,NZ
1,-40.3603989,175.611429,NZ
0,-41.19575473,174.8263622,NZ
0,-41.19575473,174.8263622,NZ
0,-38.65730919,177.9477078,NZ
4,-40.39136005,175.3150986,NZ
4,-40.39136005,175.3150986,NZ
0,-40.39136005,175.3150986,NZ
0,-39.93627841,175.0577522,NZ
1,-39.50401879,176.8965042,NZ
1,-39.50401879,176.8965042,NZ
1,-39.50401879,176.8965042,NZ
0,-39.50401879,176.8965042,NZ
0,-41.2842756,173.2765252,NZ
0,-39.6800449,176.8427051,NZ
0,-40.20823073,176.1015835,NZ
0,-39.60405603,176.8698155,NZ
0,-39.60405603,176.8698155,NZ
0,-39.60405603,176.8698155,NZ
0,-39.49720271,176.8937631,NZ
1,-40.96974655,175.602215,NZ
0,-39.0581946,174.0824318,NZ
0,-41.52257541,173.9541765,NZ
1,-41.27199192,174.7821395,NZ
0,-41.28705941,174.778167,NZ
0,-41.40551026,173.0422808,NZ
0,-41.26622474,173.2872534,NZ
0,-41.26622474,173.2872534,NZ
0,-41.20498929,174.9018876,NZ
0,-41.23906754,174.9217173,NZ
0,-39.57527698,176.8815033,NZ
0,-41.29385519,174.7720458,NZ
0,-41.29385519,174.7720458,NZ
0,-41.29385519,174.7720458,NZ
0,-41.29385519,174.7720458,NZ
0,-40.23171275,176.0606769,NZ
0,-40.23171275,176.0606769,NZ
0,-39.05771129,174.0840193,NZ
0,-39.05771129,174.0840193,NZ
0,-39.05771129,174.0840193,NZ
0,-39.05771129,174.0840193,NZ
0,-40.36833688,175.6204856,NZ
0,-40.36833688,175.6204856,NZ
0,-40.36833688,175.6204856,NZ
2,-39.03954388,177.4253876,NZ
0,-41.27953827,174.7770076,NZ
0,-41.2363738,174.8054776,NZ
0,-41.29414789,174.7729255,NZ
1,-41.27882965,174.7692153,NZ
1,-39.64770964,176.8511759,NZ
0,-39.64886336,176.8560285,NZ
0,-41.29117995,174.7796403,NZ
0,-41.29117995,174.7796403,NZ
0,-41.29117995,174.7796403,NZ
0,-41.3144632,174.784897,NZ
0,-39.5020657,176.9101252,NZ
0,-39.5020657,176.9101252,NZ
0,-39.5020657,176.9101252,NZ
2,-39.51383884,176.8746233,NZ
